seed,fold,variant,model,r2,cutoff_age,sex,n
54,2,trajectory_only,GradientBoosting,0.6168690058150661,16,Male,957
54,2,traj_wind,Ridge,0.6066217967550894,16,Male,957
54,2,traj_wind,GradientBoosting,0.6234663883486242,16,Male,957
54,2,full_no_anthro,Ridge,0.5928563517629926,16,Male,957
54,2,full_no_anthro,GradientBoosting,0.6469047160745496,16,Male,957
54,3,trajectory_only,Ridge,0.5964768764200288,16,Male,957
54,3,trajectory_only,GradientBoosting,0.5532188798582895,16,Male,957
54,3,traj_wind,Ridge,0.5939909705928061,16,Male,957
54,3,traj_wind,GradientBoosting,0.5552430147475913,16,Male,957
54,3,full_no_anthro,Ridge,0.6285730886625038,16,Male,957
54,3,full_no_anthro,GradientBoosting,0.5921544511469209,16,Male,957
54,4,trajectory_only,Ridge,0.6398723349654516,16,Male,957
54,4,trajectory_only,GradientBoosting,0.6116398828370324,16,Male,957
54,4,traj_wind,Ridge,0.6381139525721946,16,Male,957
54,4,traj_wind,GradientBoosting,0.5815749803937985,16,Male,957
54,4,full_no_anthro,Ridge,0.6750670339357566,16,Male,957
54,4,full_no_anthro,GradientBoosting,0.6272212933194989,16,Male,957
55,0,trajectory_only,Ridge,0.6638771433475716,16,Male,957
55,0,trajectory_only,GradientBoosting,0.5868632160549487,16,Male,957
55,0,traj_wind,Ridge,0.6638131864498257,16,Male,957
55,0,traj_wind,GradientBoosting,0.5795256810022269,16,Male,957
55,0,full_no_anthro,Ridge,0.6815428419697214,16,Male,957
55,0,full_no_anthro,GradientBoosting,0.6067227276274658,16,Male,957
55,1,trajectory_only,Ridge,0.652817934614458,16,Male,957
55,1,trajectory_only,GradientBoosting,0.6446015072472657,16,Male,957
55,1,traj_wind,Ridge,0.6595577426700339,16,Male,957
55,1,traj_wind,GradientBoosting,0.6618828425041324,16,Male,957
55,1,full_no_anthro,Ridge,0.6784345681702271,16,Male,957
55,1,full_no_anthro,GradientBoosting,0.6856725503832553,16,Male,957
55,2,trajectory_only,Ridge,0.6418046054761521,16,Male,957
55,2,trajectory_only,GradientBoosting,0.6092846164755181,16,Male,957
55,2,traj_wind,Ridge,0.6256659780830491,16,Male,957
55,2,traj_wind,GradientBoosting,0.6138361416392465,16,Male,957
55,2,full_no_anthro,Ridge,0.6646086790595337,16,Male,957
55,2,full_no_anthro,GradientBoosting,0.6377889336985603,16,Male,957
55,3,trajectory_only,Ridge,0.5948567184187772,16,Male,957
55,3,trajectory_only,GradientBoosting,0.5710800638505098,16,Male,957
55,3,traj_wind,Ridge,0.6016471699798113,16,Male,957
55,3,traj_wind,GradientBoosting,0.5916290562566512,16,Male,957
55,3,full_no_anthro,Ridge,0.5922207240240167,16,Male,957
55,3,full_no_anthro,GradientBoosting,0.5630142691716566,16,Male,957
