cutoff_age,sex,variant,model,cv_strategy,n_samples,n_features,n_repeats,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,MAE_mean,tag,n_groups
20,Female,full_no_anthro,RandomForest,random,250,47,100.0,0.7090704997870396,0.5386313371598994,0.8498467219599768,0.09466275534763675,0.2727936442231239,0.18014733266539776,supplementary,
20,Female,full_no_anthro,GradientBoosting,random,250,47,100.0,0.7036306068650071,0.4795388157833465,0.8583023864126202,0.11382246656190095,0.2728156859143848,0.17990635729850699,supplementary,
21,Male,trajectory_only,Ridge,random,524,26,100.0,0.7278309497352003,0.520570656792783,0.8338919478849809,0.0750247472280564,0.15952801639868924,0.11569150148538992,supplementary,
21,Male,trajectory_only,RandomForest,random,524,26,100.0,0.7396613333188505,0.6119412527130633,0.8150204448829076,0.04917799123884548,0.1569332960492071,0.11649457531738526,supplementary,
21,Male,trajectory_only,GradientBoosting,random,524,26,100.0,0.743550963034083,0.604350474965494,0.8300546441775716,0.056776293878450804,0.15546244768048073,0.11471014882394272,supplementary,
21,Male,traj_wind,Ridge,random,524,40,100.0,0.7252008890727052,0.5441733790128782,0.8318391193440267,0.0728157520673079,0.16038205870010705,0.11742554700098337,supplementary,
21,Male,traj_wind,RandomForest,random,524,40,100.0,0.7394672146793605,0.6153540097468243,0.8156624685833191,0.05090603748020478,0.15691141805838338,0.11664331566098447,supplementary,
21,Male,traj_wind,GradientBoosting,random,524,40,100.0,0.7405044294323302,0.5878802067714749,0.8227272020869972,0.05606038939457026,0.15645811166953888,0.11554794099769515,supplementary,
21,Male,full_no_anthro,Ridge,random,524,47,100.0,0.7305630765175863,0.5494767586634504,0.8313317370658658,0.06861968048251428,0.15890722515585282,0.11791795129448607,supplementary,
21,Male,full_no_anthro,RandomForest,random,524,47,100.0,0.751878092465954,0.6340362927839698,0.8247766029437639,0.047625240168325374,0.1531527478317231,0.11454405097157876,supplementary,
21,Male,full_no_anthro,GradientBoosting,random,524,47,100.0,0.7574647633249374,0.6211503511442917,0.8353032648976791,0.05210284079376841,0.15122377462478412,0.1124176140913297,supplementary,
21,Female,trajectory_only,Ridge,random,212,26,100.0,-1.137511263845816,-15.341872123944023,0.8093553133728538,5.985554613974443,0.4720096504791996,0.23255380872258224,supplementary,
21,Female,trajectory_only,RandomForest,random,212,26,100.0,0.7004461272628767,0.47916991579028295,0.8444023160143577,0.08825095549678065,0.2533583939813278,0.17446245713112193,supplementary,
21,Female,trajectory_only,GradientBoosting,random,212,26,100.0,0.6556102839539835,0.1867910834836984,0.8526581363823037,0.1602188543240168,0.26707449502957,0.17616376992489735,supplementary,
21,Female,traj_wind,Ridge,random,212,40,100.0,-1.2177845410757866,-16.775832782650586,0.7939119713446385,6.659977108850172,0.4787118960870629,0.24139349176127115,supplementary,
21,Female,traj_wind,RandomForest,random,212,40,100.0,0.7049055723282647,0.4589745286995338,0.8569946109694045,0.09686504077433108,0.25051296254075345,0.17192442238363737,supplementary,
21,Female,traj_wind,GradientBoosting,random,212,40,100.0,0.6232514264552378,0.1694293080187867,0.828505290840081,0.16068567818038523,0.2804475510825398,0.1849012294264382,supplementary,
21,Female,full_no_anthro,Ridge,random,212,47,100.0,-1.3054420066041135,-17.53624686251471,0.7889069375711596,6.431601081737906,0.4884188871698772,0.24825341982305013,supplementary,
21,Female,full_no_anthro,RandomForest,random,212,47,100.0,0.7081734628646884,0.4810340778747837,0.8505887803540539,0.09178091475731001,0.2495292596341688,0.17196304628230075,supplementary,
21,Female,full_no_anthro,GradientBoosting,random,212,47,100.0,0.6395800153259934,0.22029740519504193,0.8381241481270718,0.15545864946275156,0.2743882049483034,0.18220091751532472,supplementary,
22,Male,trajectory_only,Ridge,random,398,26,100.0,0.7651810826265308,0.5493834230473176,0.8700284073630858,0.08326323990834736,0.15160243315327265,0.10623027953111212,supplementary,
22,Male,trajectory_only,RandomForest,random,398,26,100.0,0.8113680065190214,0.7079018748992261,0.8775909590036641,0.04511339930745556,0.13718553531574576,0.09990561587276943,supplementary,
22,Male,trajectory_only,GradientBoosting,random,398,26,100.0,0.7990701444230838,0.6546461766858866,0.8886742302072566,0.05608679860380299,0.14110651244452627,0.09814761508612245,supplementary,
22,Male,traj_wind,Ridge,random,398,40,100.0,0.7690114606552573,0.5609270531765805,0.8691112154037419,0.0791006569960306,0.15052327228906212,0.10546206950663911,supplementary,
22,Male,traj_wind,RandomForest,random,398,40,100.0,0.8072994713764441,0.6915251203778084,0.8781163845346723,0.048234603311667734,0.13850070310213317,0.10024944784168538,supplementary,
22,Male,traj_wind,GradientBoosting,random,398,40,100.0,0.8017932156320692,0.6857965782232291,0.8889935879985688,0.05434626139954144,0.14021550707705685,0.09861954623486724,supplementary,
22,Male,full_no_anthro,Ridge,random,398,47,100.0,0.7699583270345475,0.5779324685171436,0.866928782139226,0.07771617386792791,0.15030320509747574,0.10714450250985587,supplementary,
22,Male,full_no_anthro,RandomForest,random,398,47,100.0,0.8170555033215184,0.7162493034804397,0.8838436375976269,0.04475879467300273,0.13502729375909767,0.09805278171617664,supplementary,
22,Male,full_no_anthro,GradientBoosting,random,398,47,100.0,0.8099765967461292,0.69463206396021,0.8934941813646425,0.050800311675461084,0.13733451288081308,0.09703601121327496,supplementary,
